SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532654,MCLEOD RUSSE,B ,Q,20.80,21.20,20.20,20.90,21.00,21.10,201,47768,986168.00,
532656,FACOR ALLOYS,XT,Q,2.30,2.35,2.15,2.16,2.15,2.25,99,113321,252495.00,
532659,IDFC        ,A ,Q,51.40,51.40,49.45,50.45,50.45,50.45,1809,342643,17343616.00,
532660,VIVIMED LABS,B ,Q,18.40,18.40,17.65,18.05,18.15,17.65,295,381052,6824739.00,
532661,RANE MADRAS ,B ,Q,396.00,396.00,364.65,376.65,376.65,364.95,580,24263,9340254.00,
532662,HT MEDIA    ,B ,Q,23.00,23.15,21.20,22.25,22.20,22.60,117,26425,587160.00,
532663,SASKEN      ,A ,Q,846.00,945.00,845.00,912.10,915.00,845.40,2035,15949,14569176.00,
532666,FCS SOFTWARE,T ,Q,0.75,0.75,0.72,0.72,0.72,0.75,295,460601,331970.00,
532667,SUZLONENERGY,A ,Q,5.40,5.67,5.30,5.62,5.62,5.40,16290,14043598,78087258.00,
532668,AURIONPRO SO,B ,Q,132.00,135.00,122.00,124.80,124.80,127.80,439,10255,1324977.00,
532670,RENUKA SUGAR,B ,Q,9.30,9.46,9.21,9.26,9.26,9.38,632,374212,3488999.00,
532673,KM SUGARMILL,B ,Q,12.45,12.45,11.11,11.71,11.77,11.77,124,46956,544726.00,
532674,BANNARI AMMA,B ,Q,67.90,67.90,63.60,65.30,64.90,66.15,164,7664,493398.00,
532678,BOMBAY RAYON,B ,Q,7.45,7.80,7.35,7.69,7.80,7.45,3559,24907,187909.00,
532679,SORILINFRA  ,B ,Q,162.40,166.30,160.90,162.95,162.95,158.35,335,13292,2173004.00,
532683,AIAENGINEER ,A ,Q,1885.55,1921.00,1884.90,1911.95,1908.20,1865.60,1204,2890,5497062.00,
532684,EVEREST KANT,B ,Q,72.30,74.55,71.45,72.05,72.45,72.30,390,43650,3180338.00,
532686,KERNEX MICRO,T ,Q,50.30,50.30,47.95,50.30,50.30,47.95,21,1474,73382.00,
532687,REPRO INDIA ,B ,Q,365.60,369.80,360.30,365.65,365.90,371.25,55,303,110482.00,
532689,PVR LTD     ,A ,Q,1315.00,1350.95,1315.00,1328.45,1328.45,1366.25,3806,120619,160822611.00,
532692,RADHA MADHAV,T ,Q,2.65,2.65,2.50,2.57,2.60,2.55,44,23971,62110.00,
532693,PUNJ LLOYD  ,Z ,Q,1.72,1.78,1.69,1.69,1.69,1.77,127,281324,481300.00,
532694,BARTRONICSIN,Z ,Q,3.00,3.08,2.85,2.87,2.87,3.00,37,10503,30969.00,
532695,CELEBRITYFAS,T ,Q,6.11,6.11,5.82,5.85,5.84,6.11,32,4128,24689.00,
532696,EDUCOMP SOLN,Z ,Q,2.92,2.94,2.68,2.81,2.83,2.80,47,26827,75765.00,
532698,NITINSPINNER,B ,Q,84.05,86.75,82.95,83.45,82.95,83.90,154,14727,1251517.00,
532699,ROYALORCH   ,B ,Q,69.95,71.50,67.90,70.40,70.25,69.95,133,6765,473721.00,
