SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532661,RANE MADRAS ,B ,Q,382.00,416.35,382.00,402.20,403.40,404.20,513,4074,1636283.00,
532662,HT MEDIA    ,B ,Q,24.55,25.00,24.20,24.60,24.60,24.55,114,11557,283635.00,
532663,SASKEN      ,A ,Q,866.00,905.65,862.00,874.35,873.80,863.80,883,5471,4855640.00,
532666,FCS SOFTWARE,T ,Q,0.79,0.79,0.73,0.79,0.79,0.76,492,725449,552390.00,
532667,SUZLONENERGY,A ,Q,5.56,5.74,5.56,5.71,5.71,5.59,11545,7962737,45332960.00,
532668,AURIONPRO SO,B ,Q,149.20,156.95,135.85,145.40,145.40,145.90,1572,66548,9857839.00,
532670,RENUKA SUGAR,B ,Q,9.90,9.96,9.64,9.70,9.70,9.89,770,334744,3278067.00,
532673,KM SUGARMILL,B ,Q,12.02,12.58,11.95,12.16,12.08,12.42,97,17820,216551.00,
532674,BANNARI AMMA,B ,Q,59.95,66.90,59.95,66.75,65.70,60.85,272,16219,1044241.00,
532678,BOMBAY RAYON,B ,Q,7.87,7.87,7.21,7.56,7.55,7.51,6868,95171,717151.00,
532679,SORILINFRA  ,B ,Q,170.15,180.00,169.05,176.15,174.05,170.20,730,30641,5351572.00,
532683,AIAENGINEER ,A ,Q,1897.40,1910.95,1885.00,1900.95,1885.00,1902.35,216,1109,2104740.00,
532684,EVEREST KANT,B ,Q,76.60,83.85,75.50,79.55,79.55,76.35,3013,236779,19201072.00,
532686,KERNEX MICRO,T ,Q,41.50,41.50,41.50,41.50,41.50,39.55,5,505,20957.00,
532687,REPRO INDIA ,B ,Q,386.00,386.00,361.20,364.75,365.80,383.85,282,3687,1388512.00,
532689,PVR LTD     ,A ,Q,1360.00,1429.95,1353.30,1422.20,1422.20,1394.55,7236,130471,181274943.00,
532690,RAMSARUP IND,Z ,Q,0.89,0.93,0.89,0.93,0.93,0.93,7,3000,2675.00,
532692,RADHA MADHAV,T ,Q,2.44,2.53,2.40,2.41,2.41,2.48,19,9906,24380.00,
532693,PUNJ LLOYD  ,Z ,Q,1.90,1.93,1.86,1.89,1.89,1.92,91,163599,311360.00,
532694,BARTRONICSIN,Z ,Q,2.71,2.90,2.71,2.88,2.90,2.77,53,40273,113587.00,
532695,CELEBRITYFAS,T ,Q,7.09,7.09,6.65,6.76,6.89,6.99,92,99524,695817.00,
532696,EDUCOMP SOLN,Z ,Q,3.05,3.10,2.92,2.95,2.95,3.00,35,19982,59219.00,
532698,NITINSPINNER,B ,Q,89.90,90.00,87.15,88.35,88.35,88.15,180,10817,956764.00,
532699,ROYALORCH   ,B ,Q,70.95,77.00,70.95,73.95,73.50,70.35,373,17218,1289518.00,
532700,ENT NETWORK ,B ,Q,177.65,178.55,172.25,173.60,173.60,176.55,121,1777,313464.00,
532701,CELLA       ,Z ,Q,6.21,6.50,5.90,6.00,6.00,6.21,12,6411,38764.00,
532702,GUJ PETRONET,A ,Q,278.00,278.00,272.05,273.50,273.90,277.80,886,36912,10139626.00,
532705,JAGRAN PRAK ,A ,Q,58.15,61.00,57.30,60.05,60.05,58.00,1276,155014,9209594.00,
532706,INOX LEISURE,A ,Q,316.35,333.35,316.35,331.65,330.80,328.40,677,25742,8442670.00,
532707,DYNEMIC PRO ,B ,Q,495.90,495.90,484.15,487.70,487.70,485.75,213,3237,1579630.00,
532710,SADBHAV ENGG,A ,Q,72.95,73.70,71.60,72.00,72.00,72.40,546,54715,3979832.00,
532712,REL COM LTD ,B ,Q,1.94,1.95,1.90,1.91,1.91,1.93,1499,2819959,5408545.00,
532713,SAKUMA EXPO ,B ,Q,5.26,5.26,5.20,5.20,5.20,5.23,67,54669,285022.00,
532714,KEC INTERN  ,A ,Q,460.00,471.45,450.35,457.20,457.20,459.30,704,12562,5823862.00,
532716,GILLA ARBUT ,B ,Q,48.75,48.75,46.05,46.10,46.05,46.55,124,5551,261168.00,
532717,INDOTECHTR  ,B ,Q,98.60,101.15,98.50,100.70,100.20,98.80,209,4482,449842.00,
532719,BL KASHYAP  ,T ,Q,21.79,21.79,19.76,20.59,20.20,20.80,335,164561,3377393.00,
532720,M&M FINANSER,A ,Q,206.95,212.00,204.90,210.95,210.95,206.40,3563,500285,104770210.00,
532721,VISA STEEL  ,B ,Q,7.30,7.80,7.24,7.56,7.80,7.56,37,9236,68361.00,
532722,NITCO TILES ,B ,Q,22.60,22.75,22.20,22.25,22.20,22.20,48,2881,64688.00,
